# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.hits,1769769442372000000,1769769490238000000,0
VFS.invertedFileNameIndex.requests,1769769442372000000,1769769490238000000,0
VFS.folderCaseSensitivityReads,1769769442372000000,1769769490238000000,31
VFS.fileByIdCache.misses,1769769442372000000,1769769490238000000,0
VFS.fileChildByName,1769769442372000000,1769769490238000000,499
Indexes.stubs.lookupDurationMaxMs,1769769442372000000,1769769490238000000,0.0
Indexes.allKeys.lookups,1769769442372000000,1769769490238000000,0
Indexing.writesQueuedMax,1769769442372000000,1769769490238000000,0
Indexes.entries.lookupDurationMaxMs,1769769442372000000,1769769490238000000,7.0
Indexes.stubs.lookupDurationAvgMs,1769769442372000000,1769769490238000000,0.0
Indexing.cache.totalCacheAccesses,1769769442372000000,1769769490238000000,0
Indexing.totalTimeIndexersSleptMs,1769769442372000000,1769769490238000000,0
Indexes.entries.lookupDurationAvgMs,1769769442372000000,1769769490238000000,7.0
Indexes.stubs.lookupDuration90PMs,1769769442372000000,1769769490238000000,0.0
Indexes.stubs.lookups,1769769442372000000,1769769490238000000,0
Indexes.entries.lookups,1769769442372000000,1769769490238000000,1
Indexing.cache.totalCacheMisses,1769769442372000000,1769769490238000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1769769442372000000,1769769490238000000,0
Indexes.allKeys.lookupDuration90PMs,1769769442372000000,1769769490238000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1769769442372000000,1769769490238000000,0.0
Indexing.writesQueuedAvg,1769769442372000000,1769769490238000000,0.0
Indexes.entries.lookupDuration90PMs,1769769442372000000,1769769490238000000,7.0
Indexing.cache.totalCacheEvicted,1769769442372000000,1769769490238000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1769769442372000000,1769769490238000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1769769442372000000,1769769490238000000,0
Indexes.allKeys.lookupDurationAvgMs,1769769442372000000,1769769490238000000,0.0
Indexing.writesQueuedMin,1769769442372000000,1769769490238000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1769769442372000000,1769769490238000000,0
cacheStateStorage.set.counter,1769769442372000000,1769769490238000000,8
cacheStateStorage.set.duration,1769769442372000000,1769769490238000000,47
cacheStateStorage.get.duration,1769769442372000000,1769769490238000000,0
cacheStateStorage.get.counter,1769769442372000000,1769769490238000000,10
NonBlockingReadAction.failedExecutionTimeUs,1769769442372000000,1769769490238000000,0
NonBlockingReadAction.failedExecutionsCount,1769769442372000000,1769769490238000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1769769442372000000,1769769490238000000,200109
NonBlockingReadAction.finalizedExecutionsCount,1769769442372000000,1769769490238000000,24
AWTEventQueue.dispatchTimeTotalNS,1769769442372000000,1769769490238000000,4284996793
workspaceModel.mutableEntityStorage.collect.changes.ms,1769769442372000000,1769769490238000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1769769442372000000,1769769490238000000,0
workspaceModel.save.cache.to.file.ms,1769769442372000000,1769769490238000000,104
workspaceModel.load.cache.metadata.from.file.ms,1769769442372000000,1769769490238000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1769769442372000000,1769769490238000000,11
jps.library.entities.serializer.save.entities.ms,1769769442372000000,1769769490238000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1769769442372000000,1769769490238000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1769769442372000000,1769769490238000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1769769442372000000,1769769490238000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1769769442372000000,1769769490238000000,0
